gene,pu_score,pu_rank,label,is_lcgene_gene,is_val_gene,is_query_gene,pu_novel_candidate
ROS1,0.9266333333333321,254,1,True,False,False,False
DEFB1,0.9264666666666657,255,1,True,True,False,False
E2F8,0.9262,256,1,True,False,False,False
LOXL2,0.9261666666666654,257,1,True,False,False,False
SLIT2,0.9258999999999992,258,1,True,True,False,False
H19,0.9252000000000002,259,0,False,False,False,True
AIM2,0.9250333333333327,260,1,True,False,False,False
HLA-G,0.9249999999999994,261,1,True,False,False,False
IGF2,0.9245999999999986,262,1,True,True,False,False
PBK,0.9240999999999995,263,1,True,False,False,False
CHIT1,0.9239333333333328,264,0,False,True,False,True
DUSP4,0.9234999999999993,265,1,True,False,False,False
FOSB,0.9234333333333327,266,0,False,False,False,True
KIF2C,0.9233999999999993,267,0,False,False,False,True
MAD2L1,0.9233999999999988,268,1,True,False,False,False
FOXA2,0.9232999999999997,269,1,True,False,False,False
STEAP4,0.9225999999999999,270,0,False,False,False,True
CEBPA,0.9223999999999993,271,1,True,False,False,False
FXYD3,0.9222666666666653,272,1,True,False,False,False
F5,0.9218333333333316,273,1,True,False,False,False
FCER1A,0.9214999999999994,274,0,False,True,False,True
S100B,0.9214333333333338,275,1,True,False,False,False
CD163,0.9214333333333328,276,1,True,False,False,False
TK1,0.9211666666666661,277,1,True,False,False,False
SCIN,0.9207666666666662,278,1,True,False,False,False
EXO1,0.9203666666666663,279,1,True,False,False,False
SLC2A1,0.9199666666666659,280,1,True,True,False,False
NAPSA,0.919333333333333,281,1,True,False,False,False
CST6,0.9192999999999988,282,0,False,True,False,True
MSI1,0.9187333333333326,283,1,True,False,False,False
TROAP,0.9183,284,0,False,False,False,True
ADRA2A,0.9176333333333332,285,0,False,False,False,True
AGR3,0.9175666666666662,286,0,False,False,False,True
PTPN13,0.9168666666666652,287,1,True,False,False,False
CILP,0.9157333333333323,288,0,False,True,False,True
FGA,0.9156666666666669,289,1,True,True,False,False
KRT6A,0.9153333333333336,290,0,False,True,False,True
ANGPT2,0.9153333333333322,291,1,True,False,False,False
CYP24A1,0.9148999999999995,292,1,True,True,False,False
CLIC6,0.9146999999999997,293,0,False,True,False,True
LAMC3,0.9139666666666667,294,0,False,False,False,True
CDT1,0.9138666666666672,295,0,False,False,False,True
ORM2,0.9134999999999993,296,0,False,True,False,True
LYPD3,0.9126999999999998,297,1,True,False,False,False
WNT7A,0.9126999999999998,297,1,True,False,False,False
ANXA3,0.9122999999999984,299,1,True,False,False,False
FAP,0.9121666666666668,300,1,True,True,False,False
NCAPG,0.9121000000000009,301,0,False,True,False,True
HJURP,0.9114666666666659,302,0,False,True,False,True
DMBT1,0.9111999999999991,303,0,False,False,False,True
AGT,0.9109999999999991,304,1,True,False,False,False
MELK,0.9100333333333332,305,0,False,True,False,True
TEK,0.9099666666666661,306,1,True,False,False,False
CEACAM1,0.9098999999999995,307,1,True,False,False,False
MUC21,0.9097666666666655,308,0,False,False,False,True
EPHA2,0.9096999999999998,309,0,False,True,False,True
PTHLH,0.9087666666666655,310,1,True,False,False,False
NDC80,0.9086000000000002,311,0,False,False,False,True
LIPH,0.908533333333333,312,1,True,False,False,False
MS4A1,0.9080666666666666,313,0,False,False,False,True
GALNT14,0.9066333333333334,314,1,True,False,False,False
CXCR3,0.906633333333333,315,1,True,False,False,False
NTRK2,0.9065666666666659,316,1,True,False,False,False
SLITRK6,0.9059999999999987,317,0,False,False,False,True
