gene,mean_tumor,mean_normal,log2fc,t_stat,pvalue,pvalue_adj,neg_log10_padj,cohens_d,significant,direction
FERMT1,8.763099108026347,0.7881716660842139,7.974927441942134,129.26255453975543,0.0,0.0,300.0,8.351917972823815,True,up
EPPK1,8.841450839323244,0.9079569178877727,7.933493921435471,120.31107485360815,0.0,0.0,300.0,7.738453415830035,True,up
SMN2,9.901875956888015,1.9763951707970788,7.925480786090936,194.80842602755362,0.0,0.0,300.0,11.518415421955488,True,up
HM13,12.002538975366203,4.082209084482932,7.920329890883271,279.6831055500319,0.0,0.0,300.0,16.816036908029552,True,up
LAD1,11.326875683332045,3.4185885026247296,7.908287180707315,101.1391362269344,0.0,0.0,300.0,5.942259419010839,True,up
PTPRF,13.137740728267914,5.237033203115397,7.900707525152518,205.03821995400386,0.0,0.0,300.0,12.3681748596325,True,up
ANLN,9.304448811478482,1.4080044635490578,7.896444347929424,106.62216345821994,0.0,0.0,300.0,6.677067418999744,True,up
FCGBP,9.868225497178184,1.980768736309295,7.887456760868889,77.02486188741136,0.0,0.0,300.0,4.909053709182003,True,up
DSC2,9.667512004336126,1.782132117818305,7.885379886517821,140.0735897895495,0.0,0.0,300.0,8.91408694398921,True,up
EIF3E,12.519686122252082,4.638230237899487,7.8814558843525955,233.3779855861952,0.0,0.0,300.0,14.614256742192541,True,up
AGR2,12.548803972183801,4.68764138328293,7.861162588900871,69.11153142075004,0.0,0.0,300.0,4.174677613867832,True,up
ERBB3,12.092761961769996,4.309910452802164,7.782851508967832,133.54781146627164,0.0,0.0,300.0,8.117454664825294,True,up
GTF2I,11.133410039535264,3.3668222261139666,7.766587813421297,218.90883096786655,0.0,0.0,300.0,13.62362908220955,True,up
PAICS,11.267428005194889,3.506224854387645,7.761203150807244,192.15513193360712,0.0,0.0,300.0,11.634158246412387,True,up
XPR1,11.50838436402519,3.750807297194562,7.757577066830628,173.47974662167897,0.0,0.0,300.0,11.11812022933239,True,up
TUBA1C,12.392796233000144,4.6438014136188475,7.748994819381297,164.43227901679452,0.0,0.0,300.0,9.73477681984953,True,up
