gene,predicted_prob,rank,percentile,predicted_label,label,is_lcgene_gene,log2fc,pvalue_adj,neg_log10_padj,direction,is_de_significant,mean_tumor,mean_normal,is_query_gene,novel_candidate,novel_candidate_sens
GDF15,0.9307666666666664,240,97.82,1,0,False,4.845336771774726,2.5217633115649726e-278,277.59829567799494,up,True,9.941252217260434,5.095915445485708,False,True,True
RARRES1,0.9300333333333324,243,97.8,1,0,False,2.466273609804488,2.377924041795213e-129,128.62380202219674,up,True,8.656707922360896,6.190434312556408,False,True,True
H19,0.9252000000000002,259,97.65,1,0,False,6.197697251795526,4.8228743979994844e-220,219.31669404825143,up,True,9.847182479893815,3.649485228098289,False,True,True
CHIT1,0.9239333333333328,264,97.61,1,0,False,6.837525966295534,7.834845583425519e-270,269.105969558599,up,True,8.964363891771281,2.1268379254757472,False,True,True
FOSB,0.9234333333333328,266,97.59,1,0,False,4.462119728310552,7.141653306341882e-157,156.14620123658474,up,True,9.155754428675532,4.6936347003649805,False,True,True
KIF2C,0.9233999999999992,267,97.58,1,0,False,6.791534105543639,0.0,300.0,up,True,8.36553219575095,1.5739980902073103,False,True,True
STEAP4,0.9226,270,97.55,1,0,False,6.961046069588273,0.0,300.0,up,True,11.27105782977505,4.310011760186776,False,True,True
FCER1A,0.9214999999999994,274,97.52,1,0,False,2.958341049293819,9.842655167914622e-110,109.0068877298994,up,True,5.526761905095096,2.568420855801277,False,True,True
CST6,0.9192999999999988,282,97.44,1,0,False,2.192600427976973,1.4605822654981266e-76,75.83547397689946,up,True,6.92987443720748,4.737274009230506,False,True,True
TROAP,0.9183,284,97.42,1,0,False,5.763478109326205,0.0,300.0,up,True,7.439419176598941,1.675941067272736,False,True,True
ADRA2A,0.9176333333333332,285,97.41,1,0,False,4.036691255773958,2.6709679236039218e-186,185.57333132751043,up,True,7.144467499751701,3.107776243977744,False,True,True
AGR3,0.9175666666666662,286,97.41,1,0,False,3.067880659797101,1.668450959378965e-96,95.77768655399817,up,True,8.970498919318374,5.902618259521272,False,True,True
CILP,0.9157333333333324,288,97.39,1,0,False,5.057464475261781,1.0832758003144536e-227,226.9652609586049,up,True,7.443020775388424,2.3855563001266424,False,True,True
