gene,predicted_prob,rank,percentile,predicted_label,label,is_lcgene_gene,log2fc,pvalue_adj,neg_log10_padj,direction,is_de_significant,mean_tumor,mean_normal,is_query_gene,novel_candidate,novel_candidate_sens
TMEM184A,0.5563333333333335,1743,84.14,1,0,False,7.3249236697806115,0.0,300.0,up,True,9.728222791287154,2.4032991215065422,False,False,True
ECM1,0.5563,1744,84.13,1,0,False,4.390878360251302,3.194096596556009e-260,259.49565195397184,up,True,9.789393550061083,5.398515189809781,False,False,True
ALOX5,0.5558999999999995,1745,84.13,1,0,False,2.562020922289664,1.508106269620305e-204,203.82156805456464,up,True,9.60348258616638,7.041461663876715,False,False,True
NEXN,0.5556333333333335,1746,84.12,1,0,False,2.321007604343825,5.298008321427781e-206,205.27588736390453,up,True,7.605997813706915,5.284990209363089,False,False,True
LPAR3,0.5554000000000001,1747,84.11,1,0,False,2.4218032549590145,1.3014178371666606e-101,100.8855832451433,up,True,4.264048781115392,1.842245526156377,False,False,True
SUCNR1,0.5550999999999998,1748,84.1,1,0,False,3.012494332818422,7.25707756564735e-160,159.1392382350344,up,True,4.317313141905319,1.304818809086897,False,False,True
ASB2,0.5550666666666667,1749,84.09,1,0,False,3.31592450244356,7.567042199137666e-265,264.1210738440949,up,True,5.606197999621974,2.2902734971784144,False,False,True
NEURL1B,0.5549000000000003,1750,84.08,1,0,False,5.066177492973937,0.0,300.0,up,True,9.752742129642188,4.686564636668251,False,False,True
SAMD11,0.5547333333333337,1751,84.07,1,0,False,3.4747364243923053,9.872627469695371e-236,235.0055672501943,up,True,5.886520412968768,2.4117839885764623,False,False,True
UCK2,0.5546666666666665,1752,84.06,1,0,False,4.639919515764428,0.0,300.0,up,True,7.848781793326494,3.2088622775620665,False,False,True
LGALS9C,0.5544666666666669,1753,84.05,1,0,False,4.485291614543468,5.0179617030955805e-306,300.0,up,True,5.2044794504477885,0.7191878359043203,False,False,True
POU2F3,0.5543333333333333,1754,84.04,1,0,False,5.023868786796574,7.69827184955151e-296,295.11360675670267,up,True,6.452324059130476,1.4284552723339017,False,False,True
GPC5,0.5541666666666669,1755,84.03,1,0,False,2.2677252846543787,1.7985100370008394e-91,90.745087134158,up,True,3.273601018677258,1.0058757340228794,False,False,True
PTAFR,0.5540333333333328,1756,84.03,1,0,False,3.354105441733032,2.85394604562886e-233,232.54455424156023,up,True,7.368513863142262,4.01440842140923,False,False,True
EPN3,0.5537999999999996,1757,84.02,1,0,False,7.555652933356923,0.0,300.0,up,True,8.302502126532989,0.7468491931760662,False,False,True
SUSD4,0.5536666666666661,1758,84.01,1,0,False,6.082296314984028,1.0644957498857331e-294,293.97285606818986,up,True,7.469956016414866,1.3876597014308385,False,False,True
RASSF6,0.5532666666666667,1759,84.0,1,0,False,5.822369944160687,0.0,300.0,up,True,6.975769303228953,1.1533993590682663,False,False,True
PON1,0.5532333333333331,1760,83.99,1,0,False,3.04069770339964,4.886388530923888e-134,133.3110120039758,up,True,3.742387607265246,0.7016899038656059,False,False,True
KCNJ12,0.5527666666666661,1761,83.98,1,0,False,2.744815159804548,2.3067180489288475e-157,156.63700548622342,up,True,5.00199093856274,2.257175778758192,False,False,True
ZAP70,0.5524666666666664,1762,83.97,1,0,False,3.341666113950921,5.2967059798525024e-219,218.27599413408188,up,True,7.014139451632922,3.672473337682001,False,False,True
MEI1,0.5517999999999998,1763,83.96,1,0,False,4.665035348426174,2.016821225197244e-304,300.0,up,True,6.66832587872198,2.003290530295806,False,False,True
F2RL2,0.5517,1764,83.95,1,0,False,3.7040724955438407,5.7692465202517476e-208,207.238880903216,up,True,4.736023219132126,1.0319507235882852,False,False,True
COL6A3,0.5515666666666665,1765,83.94,1,0,False,6.272110169287848,0.0,300.0,up,True,13.442386647389062,7.170276478101214,False,False,True
MS4A7,0.5513999999999997,1766,83.93,1,0,False,2.8703579195008686,1.4448017498859876e-238,237.84019174103017,up,True,8.948496985981814,6.078139066480945,False,False,True
NCF1,0.5512666666666667,1767,83.92,1,0,False,3.2145673271873534,1.2026254091861752e-241,240.9198696245777,up,True,7.343501655638026,4.128934328450673,False,False,True
RND3,0.5512333333333335,1768,83.92,1,0,False,3.679045443356912,2.000187132368524e-294,293.69892937095943,up,True,9.07856459572576,5.399519152368846,False,False,True
ANKFN1,0.5510666666666664,1769,83.91,1,0,False,2.5769884504351306,6.931962564495237e-115,114.15914379132413,up,True,3.3074729721967944,0.7304845217616639,False,False,True
PDLIM3,0.5509333333333335,1770,83.9,1,0,False,3.2579124982362044,2.139411586272716e-278,277.669705656545,up,True,8.920594957497247,5.662682459261043,False,False,True
CXCR5,0.550866666666667,1771,83.89,1,0,False,4.514995080032279,7.025472568724232e-244,243.1533244576028,up,True,5.09835984413094,0.5833647640986609,False,False,True
EPSTI1,0.5503,1772,83.88,1,0,False,4.485779235020928,0.0,300.0,up,True,8.327642116818692,3.841862881797764,False,False,True
PDE10A,0.5501999999999996,1773,83.87,1,0,False,5.411622424944079,2.9712619905380934e-269,268.52705905266333,up,True,6.108052867559649,0.6964304426155696,False,False,True
KCNG2,0.5492666666666665,1774,83.86,1,0,False,2.19302627575864,1.3736420256350438e-137,136.86212643070226,up,True,2.798376182284289,0.6053499065256491,False,False,True
MOV10L1,0.5490666666666667,1775,83.85,1,0,False,2.012392590456139,7.482947813453814e-119,118.12592728356329,up,True,2.645234825432297,0.6328422349761583,False,False,True
