GeneID	GeneSymbol	Alias	Links	Cytoband	FullName	GeneType	Regulation	log2FoldChange	Adjusted_P-value
2729	GCLC	GCL|GCS|GLCL|GLCLC	MIM:606857|HGNC:HGNC:4311|Ensembl:ENSG00000001084|Vega:OTTHUMG00000160220	6p12.1	glutamate-cysteine ligase catalytic subunit	protein-coding	Up	5.32	0.0403
273	AMPH	AMPH1	MIM:600418|HGNC:HGNC:471|Ensembl:ENSG00000078053|Vega:OTTHUMG00000023725	7p14.1	amphiphysin	protein-coding	Up	4.59	0.0499
2731	GLDC	GCE|GCSP|HYGN1	MIM:238300|HGNC:HGNC:4313|Ensembl:ENSG00000178445|Vega:OTTHUMG00000019524	9p24.1	glycine decarboxylase	protein-coding	Up	7.8	0.00179
28231	SLCO4A1	OATP-E|OATP1|OATP4A1|OATPE|OATPRP1|POAT|SLC21A12	MIM:612436|HGNC:HGNC:10953|Ensembl:ENSG00000101187|Vega:OTTHUMG00000032923	20q13.33	solute carrier organic anion transporter family member 4A1	protein-coding	Up	7.64	0.000193
2833	CXCR3	CD182|CD183|CKR-L2|CMKAR3|GPR9|IP10-R|Mig-R|MigR	MIM:300574|HGNC:HGNC:4540|Ensembl:ENSG00000186810|Vega:OTTHUMG00000033326	Xq13.1	C-X-C motif chemokine receptor 3	protein-coding	Up	5.22	0.0426
284	ANGPT1	AGP1|AGPT|ANG1	MIM:601667|HGNC:HGNC:484|Ensembl:ENSG00000154188|Vega:OTTHUMG00000164812	8q23.1	angiopoietin 1	protein-coding	Down	-5.15	0.0133
285	ANGPT2	AGPT2|ANG2	MIM:601922|HGNC:HGNC:485|Ensembl:ENSG00000091879|Vega:OTTHUMG00000090365	8p23.1	angiopoietin 2	protein-coding	Up	3.11	0.00414
290	ANPEP	APN|CD13|GP150|LAP1|P150|PEPN	MIM:151530|HGNC:HGNC:500|Ensembl:ENSG00000166825|Vega:OTTHUMG00000149814	15q26.1	"alanyl aminopeptidase, membrane"	protein-coding	Down	-2.34	0.0279
29089	UBE2T	FANCT|HSPC150|PIG50	MIM:610538|HGNC:HGNC:25009|Ensembl:ENSG00000077152|Vega:OTTHUMG00000041392	1q32.1	ubiquitin conjugating enzyme E2 T	protein-coding	Up	4.22	0.0168
29126	CD274	B7-H|B7H1|PD-L1|PDCD1L1|PDCD1LG1|PDL1	MIM:605402|HGNC:HGNC:17635|Ensembl:ENSG00000120217|Vega:OTTHUMG00000019503	9p24.1	CD274 molecule	protein-coding	Down	-5.63	0.00226
2919	CXCL1	FSP|GRO1|GROa|MGSA|MGSA-a|NAP-3|SCYB1	MIM:155730|HGNC:HGNC:4602|Ensembl:ENSG00000163739|Vega:OTTHUMG00000160866	4q13.3	C-X-C motif chemokine ligand 1	protein-coding	Down	-5.99	0.0015
2920	CXCL2	CINC-2a|GRO2|GROb|MGSA-b|MIP-2a|MIP2|MIP2A|SCYB2	MIM:139110|HGNC:HGNC:4603|Ensembl:ENSG00000081041|Vega:OTTHUMG00000160865	4q13.3	C-X-C motif chemokine ligand 2	protein-coding	Down	-5.13	2.77e-08
2922	GRP	BN|GRP-10|preproGRP|proGRP	MIM:137260|HGNC:HGNC:4605|Ensembl:ENSG00000134443|Vega:OTTHUMG00000132760	18q21.32	gastrin releasing peptide	protein-coding	Down	-7.21	1.18e-14
2938	GSTA1	GST-epsilon|GST2|GSTA1-1|GTH1	MIM:138359|HGNC:HGNC:4626|Ensembl:ENSG00000243955|Vega:OTTHUMG00000014861	6p12.2	glutathione S-transferase alpha 1	protein-coding	Down	-4.88	2.26e-07
2939	GSTA2	GST2|GSTA2-2|GTA2|GTH2	MIM:138360|HGNC:HGNC:4627|Ensembl:ENSG00000244067|Vega:OTTHUMG00000016263	6p12.2	glutathione S-transferase alpha 2	protein-coding	Down	-8.21	6.35e-16
29968	PSAT1	EPIP|NLS2|PSA|PSAT|PSATD	MIM:610936|HGNC:HGNC:19129|Ensembl:ENSG00000135069|Vega:OTTHUMG00000020066	9q21.2	phosphoserine aminotransferase 1	protein-coding	Up	4.74	0.00663
3053	SERPIND1	D22S673|HC2|HCF2|HCII|HLS2|LS2|THPH10	MIM:142360|HGNC:HGNC:4838|Ensembl:ENSG00000099937|Vega:OTTHUMG00000150755	22q11.21	serpin family D member 1	protein-coding	Down	-10.57	3.81e-08
306	ANXA3	ANX3	MIM:106490|HGNC:HGNC:541|Ensembl:ENSG00000138772|Vega:OTTHUMG00000130198	4q21.21	annexin A3	protein-coding	Down	-4.99	1.64e-05
3082	HGF	DFNB39|F-TCF|HGFB|HPTA|SF	MIM:142409|HGNC:HGNC:4893|Ensembl:ENSG00000019991|Vega:OTTHUMG00000023804	7q21.11	hepatocyte growth factor	protein-coding	Up	3.19	0.0453
3135	HLA-G	MHC-G	MIM:142871|HGNC:HGNC:4964|Ensembl:ENSG00000204632|Vega:OTTHUMG00000031157	6p22.1	"major histocompatibility complex, class I, G"	protein-coding	Up	3.97	0.000932
3149	HMGB3	HMG-2a|HMG-4|HMG2A|HMG4	MIM:300193|HGNC:HGNC:5004|Ensembl:ENSG00000029993|Vega:OTTHUMG00000024162	Xq28	high mobility group box 3	protein-coding	Up	3.62	0.00589
3164	NR4A1	GFRP1|HMR|N10|NAK-1|NGFIB|NP10|NUR77|TR3	MIM:139139|HGNC:HGNC:7980|Ensembl:ENSG00000123358|Vega:OTTHUMG00000150393	12q13.13	nuclear receptor subfamily 4 group A member 1	protein-coding	Down	-3.4	0.00479
3170	FOXA2	HNF3B|TCF3B	MIM:600288|HGNC:HGNC:5022|Ensembl:ENSG00000125798|Vega:OTTHUMG00000191876	20p11.21	forkhead box A2	protein-coding	Down	-11.24	1.3e-05
3172	HNF4A	FRTS4|HNF4|HNF4a7|HNF4a8|HNF4a9|HNF4alpha|MODY|MODY1|NR2A1|NR2A21|TCF|TCF14	MIM:600281|HGNC:HGNC:5024|Ensembl:ENSG00000101076|Vega:OTTHUMG00000032531	20q13.12	hepatocyte nuclear factor 4 alpha	protein-coding	Up	10.14	3.27e-06
3205	HOXA9	ABD-B|HOX1|HOX1.7|HOX1G	MIM:142956|HGNC:HGNC:5109|Ensembl:ENSG00000078399|Vega:OTTHUMG00000023220	7p15.2	homeobox A9	protein-coding	Up	7.75	0.017
3219	HOXB9	HOX-2.5|HOX2|HOX2E	MIM:142964|HGNC:HGNC:5120|Ensembl:ENSG00000170689|Vega:OTTHUMG00000159907	17q21.32	homeobox B9	protein-coding	Up	10.5	2.96e-12
3240	HP	BP|HP2ALPHA2|HPA1S	MIM:140100|HGNC:HGNC:5141|Ensembl:ENSG00000257017|Vega:OTTHUMG00000173009	16q22.2	haptoglobin	protein-coding	Down	-8.02	3.39e-07
3248	HPGD	15-PGDH|PGDH|PGDH1|PHOAR1|SDR36C1	MIM:601688|HGNC:HGNC:5154|Ensembl:ENSG00000164120|Vega:OTTHUMG00000160772	4q34.1	hydroxyprostaglandin dehydrogenase 15-(NAD)	protein-coding	Down	-3.33	0.00037
332	BIRC5	API4|EPR-1	MIM:603352|HGNC:HGNC:593|Ensembl:ENSG00000089685|Vega:OTTHUMG00000177505	17q25.3	baculoviral IAP repeat containing 5	protein-coding	Up	9.44	0.00114
3371	TNC	150-225|DFNA56|GMEM|GP|HXB|JI|TN|TN-C	MIM:187380|HGNC:HGNC:5318|Ensembl:ENSG00000041982|Vega:OTTHUMG00000021010	9q33.1	tenascin C	protein-coding	Up	3.39	0.0032
3373	HYAL1	HYAL-1|LUCA1|MPS9|NAT6	MIM:607071|HGNC:HGNC:5320|Ensembl:ENSG00000114378|Vega:OTTHUMG00000156941	3p21.31	hyaluronoglucosaminidase 1	protein-coding	Down	-5.03	2.03e-05
3397	ID1	ID|bHLHb24	MIM:600349|HGNC:HGNC:5360|Ensembl:ENSG00000125968|Vega:OTTHUMG00000032181	20q11.21	"inhibitor of DNA binding 1, HLH protein"	protein-coding	Down	-4.17	0.000479
3479	IGF1	IGF-I|IGFI|MGF	MIM:147440|HGNC:HGNC:5464|Ensembl:ENSG00000017427|Vega:OTTHUMG00000149910	12q23.2	insulin like growth factor 1	protein-coding	Up	3.41	0.00166
3481	IGF2	C11orf43|GRDF|IGF-II|PP9974	MIM:147470|HGNC:HGNC:5466|Ensembl:ENSG00000167244|Vega:OTTHUMG00000009395	11p15.5	insulin like growth factor 2	protein-coding	Down	-4.22	0.00137
3485	IGFBP2	IBP2|IGF-BP53	MIM:146731|HGNC:HGNC:5471|Ensembl:ENSG00000115457|Vega:OTTHUMG00000155341	2q35	insulin like growth factor binding protein 2	protein-coding	Up	3.54	0.0141
3486	IGFBP3	BP-53|IBP3	MIM:146732|HGNC:HGNC:5472|Ensembl:ENSG00000146674|Vega:OTTHUMG00000023769	7p12.3	insulin like growth factor binding protein 3	protein-coding	Up	4.41	0.0166
3552	IL1A	IL-1A|IL1|IL1-ALPHA|IL1F1	MIM:147760|HGNC:HGNC:5991|Ensembl:ENSG00000115008|Vega:OTTHUMG00000131315	2q14.1	interleukin 1 alpha	protein-coding	Down	-6.23	0.0275
3553	IL1B	IL-1|IL1-BETA|IL1F2	MIM:147720|HGNC:HGNC:5992|Ensembl:ENSG00000125538|Vega:OTTHUMG00000131344	2q14.1	interleukin 1 beta	protein-coding	Down	-5.86	0.00331
3569	IL6	BSF-2|BSF2|CDF|HGF|HSF|IFN-beta-2|IFNB2|IL-6	MIM:147620|HGNC:HGNC:6018|Ensembl:ENSG00000136244|Vega:OTTHUMG00000023178	7p15.3	interleukin 6	protein-coding	Down	-7.84	0.000143
3575	IL7R	CD127|CDW127|IL-7R-alpha|IL7RA|ILRA	MIM:146661|HGNC:HGNC:6024|Ensembl:ENSG00000168685|Vega:OTTHUMG00000090791	5p13.2	interleukin 7 receptor	protein-coding	Down	-2.99	0.0026
3577	CXCR1	C-C|C-C-CKR-1|CD128|CD181|CDw128a|CKR-1|CMKAR1|IL8R1|IL8RA|IL8RBA	MIM:146929|HGNC:HGNC:6026|Ensembl:ENSG00000163464|Vega:OTTHUMG00000133108	2q35	C-X-C motif chemokine receptor 1	protein-coding	Down	-9.01	0.00383
3579	CXCR2	CD182|CDw128b|CMKAR2|IL8R2|IL8RA|IL8RB	MIM:146928|HGNC:HGNC:6027|Ensembl:ENSG00000180871|Vega:OTTHUMG00000133107	2q35	C-X-C motif chemokine receptor 2	protein-coding	Down	-5.1	0.0191
3589	IL11	AGIF|IL-11	MIM:147681|HGNC:HGNC:5966|Ensembl:ENSG00000095752|Vega:OTTHUMG00000180789	19q13.42	interleukin 11	protein-coding	Up	8.72	0.000126
362	AQP5	AQP-5|PPKB	MIM:600442|HGNC:HGNC:638|Ensembl:ENSG00000161798|Vega:OTTHUMG00000169710	12q13.12	aquaporin 5	protein-coding	Up	4.67	1.4e-06
3624	INHBA	EDF|FRP	MIM:147290|HGNC:HGNC:6066|Ensembl:ENSG00000122641|Vega:OTTHUMG00000023574	7p14.1	inhibin beta A subunit	protein-coding	Down	-3.98	0.00632
3642	INSM1	IA-1|IA1	MIM:600010|HGNC:HGNC:6090|Ensembl:ENSG00000173404|Vega:OTTHUMG00000032004	20p11.23	INSM transcriptional repressor 1	protein-coding	Up	10.39	7.81e-08
366	AQP9	AQP-9|HsT17287|SSC1|T17287	MIM:602914|HGNC:HGNC:643|Ensembl:ENSG00000103569|Vega:OTTHUMG00000132631	15q21.3	aquaporin 9	protein-coding	Down	-2.9	0.0355
3690	ITGB3	BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT	MIM:173470|HGNC:HGNC:6156|Ensembl:ENSG00000259207|Ensembl:ENSG00000259753|Vega:OTTHUMG00000171956|Vega:OTTHUMG00000171957	17q21.32	integrin subunit beta 3	protein-coding	Up	3.6	0.00497
3691	ITGB4	CD104|GP150	MIM:147557|HGNC:HGNC:6158|Ensembl:ENSG00000132470|Vega:OTTHUMG00000179814	17q25.1	integrin subunit beta 4	protein-coding	Up	4.45	0.0425
3696	ITGB8	-	MIM:604160|HGNC:HGNC:6163|Ensembl:ENSG00000105855|Vega:OTTHUMG00000023594	7p21.1	integrin subunit beta 8	protein-coding	Up	3.32	0.0402
3706	ITPKA	IP3-3KA|IP3KA	MIM:147521|HGNC:HGNC:6178|Ensembl:ENSG00000137825|Vega:OTTHUMG00000130343	15q15.1	inositol-trisphosphate 3-kinase A	protein-coding	Up	11.32	2.97e-06
374	AREG	AR|AREGB|CRDGF|SDGF	MIM:104640|HGNC:HGNC:651|Ensembl:ENSG00000109321|Vega:OTTHUMG00000130006	4q13.3	amphiregulin	protein-coding	Down	-5.54	0.00189
3741	KCNA5	ATFB7|HCK1|HK2|HPCN1|KV1.5|PCN1	MIM:176267|HGNC:HGNC:6224|Ensembl:ENSG00000130037|Vega:OTTHUMG00000168232	12p13.32	potassium voltage-gated channel subfamily A member 5	protein-coding	Down	-4.18	0.00571
374897	SBSN	UNQ698	MIM:609969|HGNC:HGNC:24950|Ensembl:ENSG00000189001|Vega:OTTHUMG00000048102	19q13.12	suprabasin	protein-coding	Up	12.88	5.05e-06
