GeneID	GeneSymbol	Alias	Links	Cytoband	FullName	GeneType	Regulation	log2FoldChange	Adjusted_P-value
5653	KLK6	Bssp|Klk7|PRSS18|PRSS9|SP59|hK6	MIM:602652|HGNC:HGNC:6367|Ensembl:ENSG00000167755|Vega:OTTHUMG00000183098	19q13.41	kallikrein related peptidase 6	protein-coding	Up	10.38	1.44e-07
5655	KLK10	NES1|PRSSL1	MIM:602673|HGNC:HGNC:6358|Ensembl:ENSG00000129451|Vega:OTTHUMG00000182916	19q13.41	kallikrein related peptidase 10	protein-coding	Down	-7.39	0.000116
56649	TMPRSS4	CAPH2|MT-SP2|TMPRSS3	MIM:606565|HGNC:HGNC:11878|Ensembl:ENSG00000137648|Vega:OTTHUMG00000164122	11q23.3	"transmembrane protease, serine 4"	protein-coding	Up	7.4	4.02e-09
56729	RETN	ADSF|FIZZ3|RETN1|RSTN|XCP1	MIM:605565|HGNC:HGNC:20389|Ensembl:ENSG00000104918|Vega:OTTHUMG00000182503	19p13.2	resistin	protein-coding	Down	-7.4	8.62e-06
56896	DPYSL5	CRAM|CRMP-5|CRMP5|Ulip6	MIM:608383|HGNC:HGNC:20637|Ensembl:ENSG00000157851|Vega:OTTHUMG00000097071	2p23.3	dihydropyrimidinase like 5	protein-coding	Up	7.06	1.31e-07
57016	AKR1B10	AKR1B11|AKR1B12|ALDRLn|ARL-1|ARL1|HIS|HSI	MIM:604707|HGNC:HGNC:382|Ensembl:ENSG00000198074|Vega:OTTHUMG00000155356	7q33	aldo-keto reductase family 1 member B10	protein-coding	Up	13.7	7.22e-08
57107	PDSS2	C6orf210|COQ10D3|DLP1|bA59I9.3|hDLP1	MIM:610564|HGNC:HGNC:23041|Ensembl:ENSG00000164494|Vega:OTTHUMG00000059359	6q21	decaprenyl diphosphate synthase subunit 2	protein-coding	Up	2.52	0.0188
5730	PTGDS	L-PGDS|LPGDS|PDS|PGD2|PGDS|PGDS2	MIM:176803|HGNC:HGNC:9592|Ensembl:ENSG00000107317|Vega:OTTHUMG00000020957	9q34.3	prostaglandin D2 synthase	protein-coding	Down	-6.38	0.0147
5743	PTGS2	COX-2|COX2|GRIPGHS|PGG/HS|PGHS-2|PHS-2|hCox-2	MIM:600262|HGNC:HGNC:9605|Ensembl:ENSG00000073756|Vega:OTTHUMG00000035473	1q31.1	prostaglandin-endoperoxide synthase 2	protein-coding	Down	-5.88	0.0076
5744	PTHLH	BDE2|HHM|PLP|PTHR|PTHRP	MIM:168470|HGNC:HGNC:9607|Ensembl:ENSG00000087494|Vega:OTTHUMG00000169221	12p11.22	parathyroid hormone like hormone	protein-coding	Up	7.43	0.0134
5764	PTN	HARP|HB-GAM|HBBM|HBGF-8|HBGF8|HBNF|HBNF-1|NEGF1|OSF-1	MIM:162095|HGNC:HGNC:9630|Ensembl:ENSG00000105894|Vega:OTTHUMG00000155709	7q33	pleiotrophin	protein-coding	Up	5.78	0.000147
5783	PTPN13	FAP-1|PNP1|PTP-BAS|PTP-BL|PTP1E|PTPL1|PTPLE|hPTP1E	MIM:600267|HGNC:HGNC:9646|Ensembl:ENSG00000163629|Vega:OTTHUMG00000160968	4q21.3	"protein tyrosine phosphatase, non-receptor type 13"	protein-coding	Down	-4.04	0.0416
5794	PTPRH	R-PTP-H|SAP1	MIM:602510|HGNC:HGNC:9672|Ensembl:ENSG00000080031|Vega:OTTHUMG00000180701	19q13.42	"protein tyrosine phosphatase, receptor type H"	protein-coding	Up	10.24	7.14e-06
5803	PTPRZ1	HPTPZ|HPTPzeta|PTP-ZETA|PTP18|PTPRZ|PTPZ|R-PTP-zeta-2|RPTPB|RPTPbeta|phosphacan	MIM:176891|HGNC:HGNC:9685|Ensembl:ENSG00000106278|Vega:OTTHUMG00000157057	7q31.32	"protein tyrosine phosphatase, receptor type Z1"	protein-coding	Up	3.08	0.00173
5806	PTX3	TNFAIP5|TSG-14	MIM:602492|HGNC:HGNC:9692|Ensembl:ENSG00000163661|Vega:OTTHUMG00000158750	3q25.32	pentraxin 3	protein-coding	Down	-5.34	0.00437
59272	ACE2	ACEH	MIM:300335|HGNC:HGNC:13557|Ensembl:ENSG00000130234|Vega:OTTHUMG00000021177	Xp22.2	angiotensin I converting enzyme 2	protein-coding	Up	4.42	0.00573
597	BCL2A1	ACC-1|ACC-2|ACC1|ACC2|BCL2L5|BFL1|GRS|HBPA1	MIM:601056|HGNC:HGNC:991|Ensembl:ENSG00000140379|Vega:OTTHUMG00000144173	15q25.1	BCL2 related protein A1	protein-coding	Down	-4.09	0.0455
5979	RET	CDHF12|CDHR16|HSCR1|MEN2A|MEN2B|MTC1|PTC|RET-ELE1|RET51	MIM:164761|HGNC:HGNC:9967|Ensembl:ENSG00000165731|Vega:OTTHUMG00000018024	10q11.21	ret proto-oncogene	protein-coding	Up	7.67	7.6e-07
6098	ROS1	MCF3|ROS|c-ros-1	MIM:165020|HGNC:HGNC:10261|Ensembl:ENSG00000047936|Vega:OTTHUMG00000016188	6q22.1	"ROS proto-oncogene 1, receptor tyrosine kinase"	protein-coding	Down	-8.76	0.000103
6236	RRAD	RAD|RAD1|REM3	MIM:179503|HGNC:HGNC:10446|Ensembl:ENSG00000166592|Vega:OTTHUMG00000137511	16q22.1	"RRAD, Ras related glycolysis inhibitor and calcium channel regulator"	protein-coding	Down	-5.54	0.00247
6241	RRM2	R2|RR2|RR2M	MIM:180390|HGNC:HGNC:10452|Ensembl:ENSG00000171848|Vega:OTTHUMG00000090449	2p25.1	ribonucleotide reductase regulatory subunit M2	protein-coding	Up	4.22	0.0033
6258	RXRG	NR2B3|RXRC	MIM:180247|HGNC:HGNC:10479|Ensembl:ENSG00000143171|Vega:OTTHUMG00000034626	1q23.3	retinoid X receptor gamma	protein-coding	Down	-7.15	0.00115
627	BDNF	ANON2|BULN2	MIM:113505|HGNC:HGNC:1033|Ensembl:ENSG00000176697|Vega:OTTHUMG00000178797	11p14.1	brain derived neurotrophic factor	protein-coding	Down	-4.71	0.00581
6273	S100A2	CAN19|S100L	MIM:176993|HGNC:HGNC:10492|Ensembl:ENSG00000196754|Vega:OTTHUMG00000035031	1q21.3	S100 calcium binding protein A2	protein-coding	Up	7.38	0.000726
6279	S100A8	60B8AG|CAGA|CFAG|CGLA|CP-10|L1Ag|MA387|MIF|MRP8|NIF|P8	MIM:123885|HGNC:HGNC:10498|Ensembl:ENSG00000143546|Vega:OTTHUMG00000013124	1q21.3	S100 calcium binding protein A8	protein-coding	Down	-5.45	0.00417
6285	S100B	NEF|S100|S100-B|S100beta	MIM:176990|HGNC:HGNC:10500|Ensembl:ENSG00000160307|Vega:OTTHUMG00000090715	21q22.3	S100 calcium binding protein B	protein-coding	Up	4.25	2.29e-05
6286	S100P	MIG9	MIM:600614|HGNC:HGNC:10504|Ensembl:ENSG00000163993|Vega:OTTHUMG00000090491	4p16.1	S100 calcium binding protein P	protein-coding	Up	8.12	5.91e-05
6288	SAA1	PIG4|SAA|SAA2|TP53I4	MIM:104750|HGNC:HGNC:10513|Ensembl:ENSG00000173432|Vega:OTTHUMG00000166147	11p15.1	serum amyloid A1	protein-coding	Up	5.68	0.00114
6289	SAA2	-	MIM:104751|HGNC:HGNC:10514|Ensembl:ENSG00000134339|Vega:OTTHUMG00000166484	11p15.1	serum amyloid A2	protein-coding	Up	7.7	0.000474
629	CFB	AHUS4|ARMD14|BF|BFD|CFAB|CFBD|FB|FBI12|GBG|H2-Bf|PBF2	MIM:138470|HGNC:HGNC:1037|Ensembl:ENSG00000243649|Vega:OTTHUMG00000031198	6p21.33	complement factor B	protein-coding	Down	-3.61	0.0414
6317	SERPINB3	HsT1196|SCC|SCCA-1|SCCA-PD|SCCA1|SSCA1|T4-A	MIM:600517|HGNC:HGNC:10569|Ensembl:ENSG00000057149|Vega:OTTHUMG00000060403	18q21.33	serpin family B member 3	protein-coding	Down	-8.72	2.29e-13
6318	SERPINB4	LEUPIN|PI11|SCCA-2|SCCA1|SCCA2	MIM:600518|HGNC:HGNC:10570|Ensembl:ENSG00000206073|Vega:OTTHUMG00000060405	18q21.33	serpin family B member 4	protein-coding	Up	11.37	2.17e-07
6319	SCD	FADS5|MSTP008|SCD1|SCDOS|hSCD1	MIM:604031|HGNC:HGNC:10571|Ensembl:ENSG00000099194|Vega:OTTHUMG00000018906	10q24.31	stearoyl-CoA desaturase	protein-coding	Down	-3.27	0.00448
634	CEACAM1	BGP|BGP1|BGPI	MIM:109770|HGNC:HGNC:1814|Ensembl:ENSG00000079385|Vega:OTTHUMG00000151078	19q13.2	carcinoembryonic antigen related cell adhesion molecule 1	protein-coding	Up	4.05	0.00929
6347	CCL2	GDCF-2|HC11|HSMCR30|MCAF|MCP-1|MCP1|SCYA2|SMC-CF	MIM:158105|HGNC:HGNC:10618|Ensembl:ENSG00000108691|Vega:OTTHUMG00000132887	17q12	C-C motif chemokine ligand 2	protein-coding	Down	-5.15	0.0106
6348	CCL3	G0S19-1|LD78ALPHA|MIP-1-alpha|MIP1A|SCYA3	MIM:182283|HGNC:HGNC:10627|Ensembl:ENSG00000277632|Vega:OTTHUMG00000188413	17q12	C-C motif chemokine ligand 3	protein-coding	Down	-4.72	6.68e-07
6351	CCL4	ACT2|AT744.1|G-26|HC21|LAG-1|LAG1|MIP-1-beta|MIP1B|MIP1B1|SCYA2|SCYA4	MIM:182284|HGNC:HGNC:10630|Ensembl:ENSG00000275302|Vega:OTTHUMG00000188414	17q12	C-C motif chemokine ligand 4	protein-coding	Down	-3.57	0.000242
6355	CCL8	HC14|MCP-2|MCP2|SCYA10|SCYA8	MIM:602283|HGNC:HGNC:10635|Ensembl:ENSG00000108700|Vega:OTTHUMG00000132883	17q12	C-C motif chemokine ligand 8	protein-coding	Up	4.98	0.0466
6361	CCL17	A-152E5.3|ABCD-2|SCYA17|TARC	MIM:601520|HGNC:HGNC:10615|Ensembl:ENSG00000102970|Vega:OTTHUMG00000133468	16q21	C-C motif chemokine ligand 17	protein-coding	Up	4.08	0.0358
6362	CCL18	AMAC-1|AMAC1|CKb7|DC-CK1|DCCK1|MIP-4|PARC|SCYA18	MIM:603757|HGNC:HGNC:10616|Ensembl:ENSG00000275385|Vega:OTTHUMG00000188410	17q12	C-C motif chemokine ligand 18	protein-coding	Down	-5.5	0.00963
6363	CCL19	CKb11|ELC|MIP-3b|MIP3B|SCYA19	MIM:602227|HGNC:HGNC:10617|Ensembl:ENSG00000172724|Vega:OTTHUMG00000019833	9p13.3	C-C motif chemokine ligand 19	protein-coding	Up	4.94	0.00014
6364	CCL20	CKb4|Exodus|LARC|MIP-3-alpha|MIP-3a|MIP3A|SCYA20|ST38	MIM:601960|HGNC:HGNC:10619|Ensembl:ENSG00000115009|Vega:OTTHUMG00000133189	2q36.3	C-C motif chemokine ligand 20	protein-coding	Down	-6.84	0.000609
6366	CCL21	6Ckine|CKb9|ECL|SCYA21|SLC|TCA4	MIM:602737|HGNC:HGNC:10620|Ensembl:ENSG00000137077|Vega:OTTHUMG00000019838	9p13.3	C-C motif chemokine ligand 21	protein-coding	Down	-3.73	0.0411
6367	CCL22	A-152E5.1|ABCD-1|DC/B-CK|MDC|SCYA22|STCP-1	MIM:602957|HGNC:HGNC:10621|Ensembl:ENSG00000102962|Vega:OTTHUMG00000133454	16q21	C-C motif chemokine ligand 22	protein-coding	Up	5.58	0.00777
6374	CXCL5	ENA-78|SCYB5	MIM:600324|HGNC:HGNC:10642|Ensembl:ENSG00000163735|Vega:OTTHUMG00000160871	4q13.3	C-X-C motif chemokine ligand 5	protein-coding	Down	-6.45	0.000168
63976	PRDM16	CMD1LL|KMT8F|LVNC8|MEL1|PFM13	MIM:605557|HGNC:HGNC:14000|Ensembl:ENSG00000142611|Vega:OTTHUMG00000000581	1p36.32	PR/SET domain 16	protein-coding	Down	-6.45	0.00847
6401	SELE	CD62E|ELAM|ELAM1|ESEL|LECAM2	MIM:131210|HGNC:HGNC:10718|Ensembl:ENSG00000007908|Vega:OTTHUMG00000034851	1q24.2	selectin E	protein-coding	Down	-6.44	1.07e-06
6403	SELP	CD62|CD62P|GMP140|GRMP|LECAM3|PADGEM|PSEL	MIM:173610|HGNC:HGNC:10721|Ensembl:ENSG00000174175|Vega:OTTHUMG00000034685	1q24.2	selectin P	protein-coding	Down	-6.12	0.000609
6422	SFRP1	FRP|FRP-1|FRP1|FrzA|SARP2	MIM:604156|HGNC:HGNC:10776|Ensembl:ENSG00000104332|Vega:OTTHUMG00000164074	8p11.21	secreted frizzled related protein 1	protein-coding	Up	3.2	0.000532
6424	SFRP4	FRP-4|FRPHE|PYL|sFRP-4	MIM:606570|HGNC:HGNC:10778|Ensembl:ENSG00000106483|Vega:OTTHUMG00000023026	7p14.1	secreted frizzled related protein 4	protein-coding	Up	5.8	9.43e-05
64399	HHIP	HIP	MIM:606178|HGNC:HGNC:14866|Ensembl:ENSG00000164161|Vega:OTTHUMG00000161428	4q31.21	hedgehog interacting protein	protein-coding	Down	-5.71	1.55e-06
6441	SFTPD	COLEC7|PSP-D|SFTP4|SP-D	MIM:178635|HGNC:HGNC:10803|Ensembl:ENSG00000133661|Vega:OTTHUMG00000018590	10q22.3	surfactant protein D	protein-coding	Down	-6.12	0.000115
64478	CSMD1	PPP1R24	MIM:608397|HGNC:HGNC:14026|Ensembl:ENSG00000183117|Vega:OTTHUMG00000163605	8p23.2	CUB and Sushi multiple domains 1	protein-coding	Up	8.81	0.00293
6474	SHOX2	OG12|OG12X|SHOT	MIM:602504|HGNC:HGNC:10854|Ensembl:ENSG00000168779|Vega:OTTHUMG00000158755	3q25.32	short stature homeobox 2	protein-coding	Up	9.82	0.00258
650	BMP2	BDA2|BMP2A	MIM:112261|HGNC:HGNC:1069|Ensembl:ENSG00000125845|Vega:OTTHUMG00000031833	20p12.3	bone morphogenetic protein 2	protein-coding	Down	-6.41	0.00129
6513	SLC2A1	CSE|DYT17|DYT18|DYT9|EIG12|GLUT|GLUT-1|GLUT1|GLUT1DS|HTLVR|PED|SDCHCN	MIM:138140|MIM:143090|HGNC:HGNC:11005|Ensembl:ENSG00000117394|Vega:OTTHUMG00000007657	1p34.2	solute carrier family 2 member 1	protein-coding	Up	4.73	0.00507
6518	SLC2A5	GLUT-5|GLUT5	MIM:138230|HGNC:HGNC:11010|Ensembl:ENSG00000142583|Vega:OTTHUMG00000001771	1p36.23	solute carrier family 2 member 5	protein-coding	Up	5.54	4.44e-05
655	BMP7	OP-1	MIM:112267|HGNC:HGNC:1074|Ensembl:ENSG00000101144|Vega:OTTHUMG00000032812	20q13.31	bone morphogenetic protein 7	protein-coding	Up	3.65	0.000223
6556	SLC11A1	LSH|NRAMP|NRAMP1	MIM:600266|HGNC:HGNC:10907|Ensembl:ENSG00000018280|Vega:OTTHUMG00000086747	2q35	solute carrier family 11 member 1	protein-coding	Down	-2.77	0.0106
6563	SLC14A1	HUT11|HsT1341|JK|RACH1|RACH2|UT-B1|UT1|UTE	MIM:613868|HGNC:HGNC:10918|Ensembl:ENSG00000141469|Vega:OTTHUMG00000132617	18q12.3	solute carrier family 14 member 1 (Kidd blood group)	protein-coding	Down	-4.65	0.00157
6578	SLCO2A1	MATR1|OATP2A1|PGT|PHOAR2|SLC21A2	MIM:601460|HGNC:HGNC:10955|Ensembl:ENSG00000174640|Vega:OTTHUMG00000159745	3q22.1-q22.2	solute carrier organic anion transporter family member 2A1	protein-coding	Down	-2.61	0.00952
6586	SLIT3	MEGF5|SLIL2|SLIT1|Slit-3|slit2	MIM:603745|HGNC:HGNC:11087|Ensembl:ENSG00000184347|Vega:OTTHUMG00000130409	5q34-q35.1	slit guidance ligand 3	protein-coding	Down	-5.93	0.00876
6590	SLPI	ALK1|ALP|BLPI|HUSI|HUSI-I|MPI|WAP4|WFDC4	MIM:107285|HGNC:HGNC:11092|Ensembl:ENSG00000124107|Vega:OTTHUMG00000033075	20q13.12	secretory leukocyte peptidase inhibitor	protein-coding	Down	-10.18	2.1e-05
65975	STK33	-	MIM:607670|HGNC:HGNC:14568|Ensembl:ENSG00000130413|Vega:OTTHUMG00000140275	11p15.4	serine/threonine kinase 33	protein-coding	Down	-10.81	0.0156
6623	SNCG	BCSG1|SR	MIM:602998|HGNC:HGNC:11141|Ensembl:ENSG00000173267|Vega:OTTHUMG00000018656	10q23.2	synuclein gamma	protein-coding	Up	4.39	0.00715
6649	SOD3	EC-SOD	MIM:185490|HGNC:HGNC:11181|Ensembl:ENSG00000109610|Vega:OTTHUMG00000128565	4p15.2	"superoxide dismutase 3, extracellular"	protein-coding	Down	-6.33	0.0448
6657	SOX2	ANOP3|MCOPS3	MIM:184429|HGNC:HGNC:11195|Ensembl:ENSG00000181449|Vega:OTTHUMG00000158222	3q26.33	SRY-box 2	protein-coding	Up	10.78	0.000132
6662	SOX9	CMD1|CMPD1|SRA1|SRXX2|SRXY10	MIM:608160|HGNC:HGNC:11204|Ensembl:ENSG00000125398|Vega:OTTHUMG00000166300	17q24.3	SRY-box 9	protein-coding	Up	3.27	0.000556
6693	SPN	CD43|GALGP|GPL115|LSN	MIM:182160|HGNC:HGNC:11249|Ensembl:ENSG00000197471|Vega:OTTHUMG00000097765	16p11.2	sialophorin	protein-coding	Down	-3.05	0.00527
6695	SPOCK1	SPOCK|TESTICAN|TIC1	MIM:602264|HGNC:HGNC:11251|Ensembl:ENSG00000152377|Vega:OTTHUMG00000129157	5q31.2	"SPARC/osteonectin, cwcv and kazal like domains proteoglycan 1"	protein-coding	Up	7.12	1.1e-08
6696	SPP1	BNSP|BSPI|ETA-1|OPN	MIM:166490|HGNC:HGNC:11255|Ensembl:ENSG00000118785|Vega:OTTHUMG00000130599	4q22.1	secreted phosphoprotein 1	protein-coding	Up	12.48	7.24e-05
6862	T	SAVA|TFT	MIM:601397|HGNC:HGNC:11515|Ensembl:ENSG00000164458|Vega:OTTHUMG00000015991	6q27	T brachyury transcription factor	protein-coding	Up	13.36	4.36e-06
6943	TCF21	POD1|bHLHa23	MIM:603306|HGNC:HGNC:11632|Ensembl:ENSG00000118526|Vega:OTTHUMG00000015608	6q23.2	transcription factor 21	protein-coding	Down	-4.3	0.00239
7010	TEK	CD202B|TIE-2|TIE2|VMCM|VMCM1	MIM:600221|HGNC:HGNC:11724|Ensembl:ENSG00000120156|Vega:OTTHUMG00000019712	9p21.2	TEK receptor tyrosine kinase	protein-coding	Down	-3.22	0.000522
7015	TERT	CMM9|DKCA2|DKCB4|EST2|PFBMFT1|TCS1|TP2|TRT|hEST2|hTRT	MIM:187270|HGNC:HGNC:11730|Ensembl:ENSG00000164362|Vega:OTTHUMG00000090357	5p15.33	telomerase reverse transcriptase	protein-coding	Up	8.61	0.000899
7018	TF	HEL-S-71p|PRO1557|PRO2086|TFQTL1	MIM:190000|HGNC:HGNC:11740|Ensembl:ENSG00000091513|Vega:OTTHUMG00000150356	3q22.1	transferrin	protein-coding	Up	8.94	8.78e-10
7020	TFAP2A	AP-2|AP-2alpha|AP2TF|BOFS|TFAP2	MIM:107580|HGNC:HGNC:11742|Ensembl:ENSG00000137203|Vega:OTTHUMG00000014235	6p24.3	transcription factor AP-2 alpha	protein-coding	Up	8.63	0.000287
7021	TFAP2B	AP-2B|AP2-B|PDA2	MIM:601601|HGNC:HGNC:11743|Ensembl:ENSG00000008196|Vega:OTTHUMG00000014836	6p12.3	transcription factor AP-2 beta	protein-coding	Up	12.92	0.000433
7033	TFF3	ITF|P1B|TFI	MIM:600633|HGNC:HGNC:11757|Ensembl:ENSG00000160180|Vega:OTTHUMG00000086798	21q22.3	trefoil factor 3	protein-coding	Down	-4.9	2.59e-07
7049	TGFBR3	BGCAN|betaglycan	MIM:600742|HGNC:HGNC:11774|Ensembl:ENSG00000069702|Vega:OTTHUMG00000010097	1p22.1	transforming growth factor beta receptor 3	protein-coding	Down	-5.83	0.00781
7051	TGM1	ARCI1|ICR2|KTG|LI|LI1|TGASE|TGK	MIM:190195|HGNC:HGNC:11777|Ensembl:ENSG00000092295|Vega:OTTHUMG00000029329	14q12	transglutaminase 1	protein-coding	Down	-6.75	1.22e-05
7070	THY1	CD90|CDw90	MIM:188230|HGNC:HGNC:11801|Ensembl:ENSG00000154096|Vega:OTTHUMG00000166202	11q23.3	Thy-1 cell surface antigen	protein-coding	Up	3.05	0.00336
7080	NKX2-1	BCH|BHC|NK-2|NKX2.1|NKX2A|NMTC1|T/EBP|TEBP|TITF1|TTF-1|TTF1	MIM:600635|HGNC:HGNC:11825|Ensembl:ENSG00000136352|Vega:OTTHUMG00000140225	14q13.3	NK2 homeobox 1	protein-coding	Down	-12.27	8.6e-05
7083	TK1	TK2	MIM:188300|HGNC:HGNC:11830|Ensembl:ENSG00000167900|Vega:OTTHUMG00000150674	17q25.3	thymidine kinase 1	protein-coding	Up	4.17	0.00348
7104	TM4SF4	ILTMP|il-TMP	MIM:606567|HGNC:HGNC:11856|Ensembl:ENSG00000169903|Vega:OTTHUMG00000159619	3q25.1	transmembrane 4 L six family member 4	protein-coding	Up	6.77	0.000114
7122	CLDN5	AWAL|BEC1|CPETRL1|TMVCF	MIM:602101|HGNC:HGNC:2047|Ensembl:ENSG00000184113|Vega:OTTHUMG00000150441	22q11.21	claudin 5	protein-coding	Down	-5.16	0.000108
7124	TNF	DIF|TNF-alpha|TNFA|TNFSF2|TNLG1F	MIM:191160|HGNC:HGNC:11892|Ensembl:ENSG00000232810|Vega:OTTHUMG00000031194	6p21.33	tumor necrosis factor	protein-coding	Up	4.52	0.0254
7153	TOP2A	TOP2|TP2A	MIM:126430|HGNC:HGNC:11989|Ensembl:ENSG00000131747|Vega:OTTHUMG00000155008	17q21.2	topoisomerase (DNA) II alpha	protein-coding	Up	5.35	3.61e-05
722	C4BPA	C4BP|PRP	MIM:120830|HGNC:HGNC:1325|Ensembl:ENSG00000123838|Vega:OTTHUMG00000036173	1q32.2	complement component 4 binding protein alpha	protein-coding	Down	-11.32	1.04e-06
727	C5	C5D|C5a|C5b|CPAMD4|ECLZB	MIM:120900|HGNC:HGNC:1331|Ensembl:ENSG00000106804|Vega:OTTHUMG00000020579	9q33.2	complement C5	protein-coding	Down	-3.21	0.00506
727897	MUC5B	MG1|MUC-5B|MUC5|MUC9	MIM:600770|HGNC:HGNC:7516|Ensembl:ENSG00000117983|Vega:OTTHUMG00000166494	11p15.5	"mucin 5B, oligomeric mucus/gel-forming"	protein-coding	Up	9.76	0.000125
7280	TUBB2A	CDCBM5|TUBB|TUBB2	MIM:615101|HGNC:HGNC:12412|Ensembl:ENSG00000137267|Vega:OTTHUMG00000014135	6p25.2	tubulin beta 2A class IIa	protein-coding	Up	3.25	0.0497
7291	TWIST1	ACS3|BPES2|BPES3|CRS|CRS1|CSO|SCS|TWIST|bHLHa38	MIM:601622|HGNC:HGNC:12428|Ensembl:ENSG00000122691|Vega:OTTHUMG00000090821	7p21.1	twist family bHLH transcription factor 1	protein-coding	Up	5.68	0.0326
7345	UCHL1	HEL-117|HEL-S-53|NDGOA|PARK5|PGP 9.5|PGP9.5|PGP95|Uch-L1	MIM:191342|HGNC:HGNC:12513|Ensembl:ENSG00000154277|Vega:OTTHUMG00000099377	4p13	ubiquitin C-terminal hydrolase L1	protein-coding	Up	4.94	6.58e-05
7356	SCGB1A1	CC10|CC16|CCPBP|CCSP|UGB|UP-1|UP1	MIM:192020|HGNC:HGNC:12523|Ensembl:ENSG00000149021|Vega:OTTHUMG00000167526	11q12.3	secretoglobin family 1A member 1	protein-coding	Down	-9.86	5.21e-09
7368	UGT8	CGT|UGT4	MIM:601291|HGNC:HGNC:12555|Ensembl:ENSG00000174607|Vega:OTTHUMG00000132915	4q26	UDP glycosyltransferase 8	protein-coding	Up	5.36	0.0335
7429	VIL1	D2S1471|VIL	MIM:193040|HGNC:HGNC:12690|Ensembl:ENSG00000127831|Vega:OTTHUMG00000133112	2q35	villin 1	protein-coding	Up	10.76	3.38e-06
7476	WNT7A	-	MIM:601570|HGNC:HGNC:12786|Ensembl:ENSG00000154764|Vega:OTTHUMG00000129803	3p25.1	Wnt family member 7A	protein-coding	Down	-6.1	0.00127
7490	WT1	AWT1|EWS-WT1|GUD|NPHS4|WAGR|WIT-2|WT33	MIM:607102|HGNC:HGNC:12796|Ensembl:ENSG00000184937|Vega:OTTHUMG00000039556	11p13	Wilms tumor 1	protein-coding	Down	-4.92	0.0239
7498	XDH	XAN1|XO|XOR	MIM:607633|HGNC:HGNC:12805|Ensembl:ENSG00000158125|Vega:OTTHUMG00000099385	2p23.1	xanthine dehydrogenase	protein-coding	Up	6.12	2.5e-05
760	CA2	CA-II|CAC|CAII|Car2|HEL-76|HEL-S-282	MIM:611492|HGNC:HGNC:1373|Ensembl:ENSG00000104267|Vega:OTTHUMG00000164944	8q21.2	carbonic anhydrase 2	protein-coding	Down	-2.62	0.0139
768	CA9	CAIX|MN	MIM:603179|HGNC:HGNC:1383|Ensembl:ENSG00000107159|Vega:OTTHUMG00000021029	9p13.3	carbonic anhydrase 9	protein-coding	Up	8.45	4.3e-12
7704	ZBTB16	PLZF|ZNF145	MIM:176797|HGNC:HGNC:12930|Ensembl:ENSG00000109906|Vega:OTTHUMG00000168243	11q23.2	zinc finger and BTB domain containing 16	protein-coding	Down	-6.08	0.000817
771	CA12	CA-XII|CAXII|HsT18816|T18816	MIM:603263|HGNC:HGNC:1371|Ensembl:ENSG00000074410|Vega:OTTHUMG00000132881	15q22.2	carbonic anhydrase 12	protein-coding	Up	4.49	0.0326
7869	SEMA3B	LUCA-1|SEMA5|SEMAA|SemA|semaV	MIM:601281|HGNC:HGNC:10724|Ensembl:ENSG00000012171|Vega:OTTHUMG00000156970	3p21.31	semaphorin 3B	protein-coding	Down	-5.06	0.000168
79054	TRPM8	LTRPC6|TRPP8	MIM:606678|HGNC:HGNC:17961|Ensembl:ENSG00000144481|Vega:OTTHUMG00000059129	2q37.1	transient receptor potential cation channel subfamily M member 8	protein-coding	Up	7.76	1.09e-08
79365	BHLHE41	BHLHB3|DEC2|SHARP1|hDEC2	MIM:606200|HGNC:HGNC:16617|Ensembl:ENSG00000123095|Vega:OTTHUMG00000169174	12p12.1	basic helix-loop-helix family member e41	protein-coding	Down	-3.4	0.00058
79370	BCL2L14	BCLG	MIM:606126|HGNC:HGNC:16657|Ensembl:ENSG00000121380|Vega:OTTHUMG00000159528	12p13.2	BCL2 like 14	protein-coding	Up	5.11	0.0483
79444	BIRC7	KIAP|LIVIN|ML-IAP|MLIAP|RNF50	MIM:605737|HGNC:HGNC:13702|Ensembl:ENSG00000101197|Vega:OTTHUMG00000032957	20q13.33	baculoviral IAP repeat containing 7	protein-coding	Down	-4.82	0.0478
796	CALCA	CALC1|CGRP|CGRP-I|CGRP1|CT|KC|PCT	MIM:114130|HGNC:HGNC:1437|Ensembl:ENSG00000110680|Vega:OTTHUMG00000159731	11p15.2	calcitonin related polypeptide alpha	protein-coding	Up	9.4	6.74e-10
79623	GALNT14	GALNT15|GalNac-T10|GalNac-T14	MIM:608225|HGNC:HGNC:22946|Ensembl:ENSG00000158089|Vega:OTTHUMG00000074077	2p23.1	polypeptide N-acetylgalactosaminyltransferase 14	protein-coding	Up	7.4	1.92e-07
79679	VTCN1	B7-H4|B7H4|B7S1|B7X|B7h.5|PRO1291|VCTN1	MIM:608162|HGNC:HGNC:28873|Ensembl:ENSG00000134258|Vega:OTTHUMG00000012118	1p13.1-p12	V-set domain containing T cell activation inhibitor 1	protein-coding	Up	5.96	0.000518
79733	E2F8	E2F-8	MIM:612047|HGNC:HGNC:24727|Ensembl:ENSG00000129173|Vega:OTTHUMG00000166102	11p15.1	E2F transcription factor 8	protein-coding	Up	6.72	0.0434
