gene,predicted_prob,predicted_label,rank,percentile,novel_candidate,is_lcgene_gene,log2fc,pvalue_adj,neg_log10_padj,direction,is_de_significant,mean_tumor,mean_normal,degree,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,in_largest_component,mean_edge_weight,node_color,node_size
TOMM40,0.0047333333333333,0,8469,22.91,False,False,5.033576093607387,0.0,300.0,up,True,10.16686972351959,5.1332936299122025,16,10.00814402103424,0.0003554297345727,0.1057683302516597,3.7938833061021056e-06,0.2182866190298296,1,0.6255090236663818,#F0882A,5.212999999999998
PDGFB,0.7569000000000006,1,945,91.41,False,True,3.118523002413196,0.0,300.0,up,True,8.669789518852479,5.551266516439283,9,5.659490764141083,1.0568280674449088e-08,0.0922820157077104,2.259353252560652e-05,0.6380249315215207,1,0.6288322806358337,#E8524A,39.060500000000026
PLVAP,0.4462333333333337,1,2260,79.44,False,False,4.998034956052255,0.0,300.0,up,True,10.63825037468514,5.640215418632886,29,19.06281965970993,1.7022239374182067e-06,0.09347388305163,5.116161437557168e-05,0.4028811754995316,1,0.6573386192321777,#F0882A,25.080500000000015
TBXA2R,0.1603333333333334,0,3811,65.32,False,False,2.394121961611078,1.1857988914009495e-281,280.9259889600112,up,True,5.635784703265229,3.2416627416541512,18,11.295389115810394,1.926960731434847e-07,0.0901140408989966,2.2275509540131936e-05,0.3858060455324559,1,0.6275216341018677,#F0882A,12.215000000000003
HCFC1R1,0.1065333333333333,0,4303,60.84,False,False,2.572233548258728,0.0,300.0,up,True,9.631762303461942,7.059528755203214,8,5.194931864738464,0.0,0.090775138794649,3.6949855650814846e-09,0.6794868711231652,1,0.6493664979934692,#F0882A,9.793999999999999
THOC6,0.0359333333333332,0,5776,47.43,False,False,3.3720441596720105,0.0,300.0,up,True,9.087490754026971,5.715446594354961,13,8.724723517894745,5.378260908785437e-06,0.0938765116227775,5.338639993154668e-09,0.5583503168296672,1,0.6711326241493225,#F0882A,6.616999999999994
BCL9L,0.0271333333333332,0,6174,43.81,False,False,6.154001866742877,0.0,300.0,up,True,11.41020718395109,5.256205317208214,2,1.276236355304718,0.0,0.0747193833743706,2.7359077647556766e-10,0.6590355250762017,1,0.6381181478500366,#F0882A,6.220999999999994
EHBP1L1,0.0037,0,8705,20.75,False,False,4.040086079528947,0.0,300.0,up,True,10.67512446755102,6.635038388022074,5,3.120309948921204,8.264796763466877e-05,0.0820877046932608,3.960206151875325e-08,0.0659035525076201,1,0.6240619421005249,#F0882A,5.1665
BCO2,0.3735333333333335,0,2618,76.18,False,False,2.0197433554593607,3.425875310420909e-134,133.465228447845,up,True,3.9986360472291103,1.9788926917697487,2,1.2437628507614136,0.0,0.0719445244374426,1.3660560503266683e-10,0.6764610487941158,1,0.6218814253807068,#F0882A,21.809000000000008
BCR,0.0329333333333332,0,5904,46.26,False,False,6.31123353427165,0.0,300.0,up,True,11.168791656670033,4.857558122398381,2,1.2502511739730835,1.642860480265807e-06,0.0717722151206251,1.4444673831085294e-10,0.0,1,0.6251255869865417,#F0882A,6.481999999999994
