gene,predicted_prob,rank,percentile,predicted_label,label,is_lcgene_gene,log2fc,pvalue_adj,neg_log10_padj,direction,is_de_significant,mean_tumor,mean_normal,is_query_gene,novel_candidate,novel_candidate_sens,degree,weighted_degree,betweenness_centrality,eigenvector_centrality,clustering_coefficient,in_largest_component,mean_edge_weight,tumor_mean,tumor_std,normal_mean,normal_std,abs_log2fc_rank,neg_log10_padj_rank
ELN,0.979867,40,99.65,1,1,True,2.204677,0.0,105.448504,up,True,10.273965,8.069289,False,False,False,56,37.512733,1e-05,0.000286,0.4468,1,0.66987,10.273965,1.678951,8.069289,1.107147,0.132532,0.114873
NR4A1,0.9792,41,99.64,1,1,True,3.034399,0.0,170.517564,up,True,10.824631,7.790232,False,False,False,10,6.908926,0.000108,0.0,0.317093,1,0.690893,10.824631,1.597155,7.790232,1.275553,0.22383,0.183779
ANGPTL4,0.979067,42,99.63,1,1,True,3.523311,0.0,155.783175,up,True,9.070044,5.546733,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,9.070044,1.961128,5.546733,1.629471,0.302749,0.16785
CCNB2,0.9789,43,99.62,1,1,True,6.253953,0.0,300.0,up,True,8.220879,1.966926,False,False,False,236,176.906656,0.0005,0.000156,0.465429,1,0.749604,8.220879,1.281161,1.966926,0.7452,0.926998,0.666394
CDCA5,0.9789,44,99.61,1,1,True,6.658103,0.0,300.0,up,True,8.47168,1.813578,False,False,False,238,181.333003,0.000349,0.000157,0.476753,1,0.761903,8.47168,1.281719,1.813578,0.893421,0.961041,0.666394
RETN,0.978833,45,99.6,1,1,True,-1.709566,0.0,48.226776,ns,False,3.557197,5.266763,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,3.557197,2.083687,5.266763,1.218746,0.092026,0.059439
MSLN,0.978833,46,99.59,1,1,True,4.42782,0.0,103.501228,up,True,10.704179,6.276359,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,10.704179,3.560041,6.276359,1.383842,0.50974,0.11278
PTX3,0.978767,47,99.58,1,1,True,-1.075584,0.0,20.223087,ns,False,4.845808,5.921392,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,4.845808,1.437317,5.921392,2.266237,0.050974,0.031313
CHI3L1,0.978567,48,99.57,1,1,True,4.862783,0.0,248.967437,up,True,10.729595,5.866812,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,10.729595,1.879509,5.866812,1.595156,0.633078,0.271618
ADH1B,0.978167,49,99.56,1,1,True,-0.202477,0.113899,0.943478,ns,False,8.525197,8.727674,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,8.525197,2.715113,8.727674,1.009545,0.007282,0.004278
SCGB3A1,0.978033,50,99.55,1,1,True,2.878969,0.0,48.989886,up,True,9.253521,6.374552,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,9.253521,3.503475,6.374552,2.302656,0.203077,0.060167
SLC11A1,0.9779,51,99.54,1,1,True,0.632098,0.0,21.649018,ns,False,8.749244,8.117146,False,False,False,17,10.976572,0.0,0.002637,0.631147,1,0.645681,8.749244,1.196829,8.117146,0.846741,0.028855,0.033406
CD274,0.977633,52,99.54,1,1,True,1.177014,0.0,43.666521,ns,False,6.044692,4.867678,False,False,False,46,29.135625,0.0,0.008316,0.562079,1,0.633383,6.044692,1.546514,4.867678,0.981308,0.057255,0.054797
CLDN1,0.977467,53,99.53,1,1,True,6.727079,0.0,300.0,up,True,10.166948,3.439869,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,10.166948,1.596449,3.439869,1.162424,0.965502,0.666394
